Code,GEN (Open),GEN (Close),OBC (Open),OBC (Close),SC (Open),SC (Close),ST (Open),ST (Close),GEN-PD (Open),GEN-PD (Close),OBC-PD (Open),OBC-PD (Close),SC-PD (Open),SC-PD (Close),ST-PD (Open),ST-PD (Close),
R5503,5485,6547,3473,3526,1388,1709,943,970,0,0,0,0,0,0,0,0,
R5507,4574,6002,2823,3383,1674,1741,593,950,0,0,0,0,0,0,0,0,
S4107,4775,6016,2259,2342,1218,1226,581,606,0,0,0,0,0,0,0,0,
S4110,2288,5093,813,1836,611,1205,488,583,103,103,0,0,0,0,0,0,
S4111,3023,5720,1422,2218,578,1186,400,523,137,137,0,0,0,0,0,0,
S4114,3546,5744,996,2285,991,1215,435,548,131,131,0,0,0,0,0,0,
S4119,6479,6961,2347,3130,1404,1656,639,822,0,0,0,0,0,0,0,0,
S4125,3854,5667,1235,2181,879,1154,390,526,65,65,0,0,0,0,0,0,
S4129,6377,6893,2518,2979,1408,1613,704,792,0,0,0,0,0,0,0,0,
S4130,5012,6665,1439,2701,975,1371,432,661,0,0,0,0,0,0,0,0,
S4131,5823,6789,1211,2999,1339,1526,672,790,0,0,0,0,0,0,0,0,
S4134,2818,5616,1394,2473,788,1274,354,652,0,0,0,0,0,0,0,0,
S5246,6742,6956,2889,3182,1447,1658,797,797,0,0,0,0,0,0,0,0,
S5247,5882,6705,2557,2961,1342,1436,553,553,0,0,0,0,0,0,0,0,
S5252,5040,6003,2296,2461,1179,1315,510,510,0,0,0,0,0,0,0,0,
S5305,5134,6381,2318,2813,1261,1471,699,818,0,0,0,0,0,0,0,0,
S5401,6529,6986,3198,3325,1659,1714,901,901,0,0,0,0,0,0,0,0,
S5402,6334,6932,2623,3208,1455,1568,544,544,0,0,0,0,0,0,0,0,
S5701,6093,7024,3364,3579,1736,1745,995,996,99,99,0,0,0,0,0,0,
S5702,6403,7018,3530,3583,1663,1719,992,1002,0,0,0,0,0,0,0,0,
U4110,1938,2886,829,1346,517,936,298,482,0,0,0,0,0,0,0,0,
U4111,2910,3862,1489,1880,1003,1073,240,369,0,0,0,0,0,0,0,0,
U4125,3396,4309,1434,2007,911,1002,406,475,130,130,0,0,0,0,0,0,
V4106,5121,6411,2254,2859,1273,1568,724,743,0,0,0,0,0,0,0,0,
V4107,3024,4258,1540,2162,795,1044,411,546,167,167,0,0,0,0,0,0,
V4109,2993,3636,1298,1537,624,812,227,281,0,0,0,0,0,0,0,0,
V4110,1085,1849,466,886,352,597,197,296,27,27,118,118,0,0,0,0,
V4111,1789,2799,784,1155,562,723,221,294,119,119,0,0,0,0,0,0,
V4113,1791,2684,857,1272,405,783,345,399,0,0,0,0,0,0,0,0,
V4125,1818,2959,739,1287,439,726,238,339,71,126,0,0,0,0,0,0,
V4126,4192,5075,1955,2539,1228,1346,680,719,0,0,0,0,0,0,0,0,
V4130,4516,6406,2373,2986,1132,1515,685,723,0,0,0,0,0,0,0,0,
V4301,6964,7119,3354,3606,1731,1770,988,1005,0,0,0,0,0,0,0,0,
V5204,5802,6419,2997,3185,1592,1669,827,881,0,0,0,0,0,0,0,0,
V5206,5007,6563,3194,3260,1508,1680,887,888,0,0,0,0,0,0,0,0,
V5209,6042,6795,2993,3176,1505,1641,884,890,0,0,0,0,0,0,0,0,
V5214,3185,3831,1601,1677,826,881,375,391,0,0,0,0,0,0,0,0,
V5216,1855,2136,984,1029,649,679,430,430,57,57,0,0,0,0,0,0,
V5223,2156,3025,1273,1333,772,797,336,359,0,0,0,0,0,0,0,0,
V5232,4808,5533,2388,2739,1340,1546,460,823,0,0,0,0,0,0,0,0,
V5233,2962,3157,1334,1396,533,764,364,379,0,0,0,0,0,0,0,0,
V5240,5089,5391,2486,2857,1416,1500,740,753,0,0,0,0,0,0,0,0,
V5247,5954,6673,3042,3115,1427,1544,833,856,0,0,0,0,0,0,0,0,
V5301,3717,4690,1417,2563,1173,1344,592,839,0,0,0,0,0,0,0,0,
V5304,6038,6614,2684,3261,1489,1557,880,882,0,0,0,0,0,0,0,0,
V5305,3045,3411,1864,2152,824,1260,682,729,0,0,0,0,0,0,0,0,
V5801,6917,7116,3603,3620,1672,1767,975,1009,0,0,0,0,0,0,0,0,
W4104,4476,5834,2284,2882,1285,1469,584,801,0,0,0,0,0,0,0,0,
W4107,2975,3629,1494,1698,769,896,335,426,0,0,0,0,0,0,0,0,
W4108,2397,4342,1666,2136,635,1004,551,564,0,0,0,0,0,0,0,0,
W4109,2845,3545,1085,1383,563,734,209,274,121,121,0,0,0,0,0,0,
W4110,775,1367,334,705,268,484,155,286,38,38,87,87,0,0,0,0,
W4114,1392,1973,699,1026,418,640,171,299,90,90,0,0,0,0,0,0,
W4116,1461,2131,682,1043,560,656,232,285,0,0,158,158,0,0,0,0,
W4117,2224,4042,1620,2101,1011,1148,569,597,0,0,0,0,0,0,0,0,
W4124,1770,3048,834,1559,600,917,382,560,115,115,0,0,0,0,0,0,
W4125,1504,2498,741,1000,319,559,199,229,81,81,0,0,0,0,0,0,
W4401,4271,5446,1854,3131,1160,1579,513,774,0,0,0,0,0,0,0,0,
