Indian Institute of Technology Bhubaneswar,Civil Engineering,A4109,4433,4960,1690,2088,832,1110,291,358,0,0,0,0,0,0,0,0
Indian Institute of Technology Bhubaneswar,Electrical Engineering,A4111,2971,4233,1234,1751,746,959,441,476,0,0,0,0,0,0,0,0
Indian Institute of Technology Bhubaneswar,Mechanical Engineering,A4125,3109,4475,1384,1786,564,969,402,453,0,0,0,0,0,0,0,0
Indian Institute of Technology Bombay,Aerospace Engineering,B4101,910,1719,200,792,29,356,181,216,0,0,110,138,0,0,0,0
Indian Institute of Technology Bombay,Chemical Engineering,B4107,354,1107,358,791,232,402,50,244,70,91,0,0,0,0,0,0
Indian Institute of Technology Bombay,Civil Engineering,B4109,701,1609,388,790,215,362,52,96,56,56,0,0,94,94,0,0
Indian Institute of Technology Bombay,Computer Science and Engineering,B4110,2,75,9,52,1,47,6,21,4,4,0,0,16,16,0,0
Indian Institute of Technology Bombay,Electrical Engineering,B4111,6,91,11,63,4,37,1,26,0,0,39,44,0,0,0,0
Indian Institute of Technology Bombay,Engineering Physics,B4117,95,987,390,836,166,456,293,413,0,0,0,0,0,0,0,0
Indian Institute of Technology Bombay,Mechanical Engineering,B4125,92,456,48,190,34,127,14,44,10,18,26,26,0,0,0,0
Indian Institute of Technology Bombay,Metallurgical Engineering and Materials Science,B4128,1516,2138,931,1359,389,780,331,493,95,95,0,0,0,0,0,0
Indian Institute of Technology Bombay,Chemical Engineering,B5210,1111,1453,745,973,320,566,372,416,129,129,0,0,0,0,0,0
Indian Institute of Technology Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing,B5219,226,395,271,339,188,246,56,153,0,0,0,0,0,0,0,0
Indian Institute of Technology Bombay,Electrical Engineering with M.Tech. in Microelectronics,B5221,97,264,77,257,69,165,183,192,50,50,0,0,0,0,0,0
Indian Institute of Technology Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering,B5226,516,1592,721,1012,373,643,340,378,60,60,0,0,0,0,0,0
Indian Institute of Technology Bombay,Engineering Physics with M.Tech. in Engineering Physics with specialization in Nano Science,B5229,1070,1472,824,994,630,670,443,443,0,0,0,0,0,0,0,0
Indian Institute of Technology Bombay,Mechanical Engineering with M.Tech. in Computer Aided Design and Automation,B5234,451,624,262,451,176,193,142,191,36,36,0,0,0,0,0,0
Indian Institute of Technology Bombay,Mechanical Engineering with M.Tech. in Computer Integrated Manufacturing,B5235,533,698,353,476,16,221,205,225,52,52,0,0,0,0,0,0
Indian Institute of Technology Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites,B5244,2172,2626,1539,1705,782,1056,420,550,0,0,0,0,0,0,0,0
Indian Institute of Technology Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering,B5245,2572,2823,1388,1675,859,925,464,517,0,0,0,0,0,0,0,0
Indian Institute of Technology Bombay,Chemistry,B5503,1995,4332,2333,2778,1026,1355,640,641,0,0,0,0,0,0,0,0
Indian Institute of Technology Mandi,Computer Science and Engineering,C4110,3260,4249,1445,1871,715,985,462,503,0,0,0,0,0,0,0,0
Indian Institute of Technology Mandi,Electrical Engineering,C4111,3872,4618,1720,2127,458,1119,383,440,124,124,0,0,0,0,0,0
Indian Institute of Technology Mandi,Mechanical Engineering,C4125,4135,4758,1738,2190,732,1060,387,442,0,0,0,0,0,0,0,0
Indian Institute of Technology Delhi,Chemical Engineering,D4107,635,1244,428,915,327,558,147,267,74,74,0,0,0,0,0,0
Indian Institute of Technology Delhi,Civil Engineering,D4109,360,1795,399,821,23,272,12,51,33,33,85,85,0,0,0,0
Indian Institute of Technology Delhi,Computer Science and Engineering,D4110,1,130,44,100,13,57,23,37,2,2,7,7,0,0,0,0
Indian Institute of Technology Delhi,Electrical Engineering,D4111,42,270,47,131,10,67,3,17,21,21,29,29,0,0,0,0
Indian Institute of Technology Delhi,Electrical Engineering (Power),D4112,437,820,309,406,80,222,83,86,0,0,0,0,0,0,0,0
Indian Institute of Technology Delhi,Engineering Physics,D4117,1010,2184,1129,1486,224,763,146,437,109,109,0,0,0,0,0,0
Indian Institute of Technology Delhi,Mechanical Engineering,D4125,176,630,92,300,21,140,19,57,40,40,47,47,145,145,0,0
Indian Institute of Technology Delhi,Production and Industrial Engineering,D4136,900,1568,622,1198,295,561,263,302,0,0,0,0,0,0,0,0
Indian Institute of Technology Delhi,Textile Technology,D4139,1897,3707,1331,2270,627,1141,479,608,101,107,0,0,0,0,0,0
