InstCd,InstNm,InstType
BIT,Birla Institute of Technology, Mesra,  Ranchi,CFI
DAM,Institute of Infrastructure, Technology, Research and Management-Ahmedabad,CFI
DAU,National Institute of Electronics and Information Technology, Aurangabad (Maharashtra),CFI
DBH,Indian Institute of Carpet Technology,  Bhadohi,CFI
DBL,Institute of Technology, Guru Ghasidas Vishwavidhyalaya, Bilaspur,CFI
DBP,School of Planning & Architecture, Bhopal,CFI
DDE,School of Planning & Architecture, New Delhi,CFI
DFF,National Institute of Foundry & Forge Technology, Hatia, Ranchi,CFI
DHA,Gurukula Kangri Vishwavidyalaya, Haridwar,CFI
DJK,J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad,CFI
DJT,Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir,CFI
DMU,School of Engineering & Technology, Mizoram University, Aizawl,CFI
DPU,Sant Longowal Institute of Engineering and Technology,CFI
DTU,School of Engineering, Tezpur University, Napaam, Tezpur,CFI
DVJ,School of Planning & Architecture: Vijayawada,CFI
IAA,Rajiv Gandhi Institute of Information Technology Amethi (A Campus of IIIT Allahabad),IIT
IAL,Indian Institute of Information Technology, Allahabad,IIT
ICH,Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh,IIT
IGJ,Indian Institute of Information Technology(IIIT), Vadodara, Gujrat,IIT
IGU,Indian Institute of Information Technology Guwahati,IIT
IGW,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IIT
IJL,Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur,IIT
IKL,Indian Institute of Information Technology(IIIT) Kalyani, West Bengal,IIT
IKP,Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram,IIT
IKT,Indian Institute of Information Technology (IIIT)Kota, Rajasthan,IIT
ISO,Indian Institute of Information Technology(IIIT) Sonepat, Haryana,IIT
IUN,Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh,IIT
NAG,National Institute of Technology  Agartala,NIT
NAL,Motilal Nehru National Institute of Technology Allahabad,NIT
NAP,National Institute of Technology Yupia, District Papumpare, Arunachal Pradesh,NIT
NBH,Maulana Azad National Institute of Technology, Bhopal,NIT
NCA,National Institute of Technology Calicut,NIT
NDL,National Institute of Technology Delhi,NIT
NDU,National Institute of Technology Durgapur,NIT
NGO,National Institute of Technology Goa,NIT
NHA,National Institute of Technology Hamirpur,NIT
NJI,Malaviya National Institute of Technology Jaipur,NIT
NJL,Dr. B R Ambedkar National Institute of Technology, Jalandhar,NIT
NJM,National Institute of Technology, Jamshedpur,NIT
NKU,National Institute of Technology, Kurukshetra,NIT
NMG,National Institute of Technology Meghalaya,NIT
NMR,National Institute of Technology, Manipur,NIT
NMZ,National Institute of Technology, Mizoram,NIT
NNA,Visvesvaraya National Institute of Technology, Nagpur,NIT
NNG,National Institute of Technology Nagaland,NIT
NPA,National Institute of Technology Patna,NIT
NPY,National Institute of Technology Puducherry,NIT
NRA,National Institute of Technology Raipur,NIT
NRO,National Institute of Technology, Rourkela,NIT
NSI,National Institute of Technology, Silchar,NIT
NSK,National Institute of Technology Sikkim,NIT
NSL,National Institute of Technology Karnataka, Surathkal,NIT
NSR,National Institute of Technology, Srinagar,NIT
NST,Sardar Vallabhbhai National Institute of Technology, Surat,NIT
NTI,National Institute of Technology, Tiruchirappalli,NIT
NUD,National Institute of Technology, Uttarakhand,NIT
NUS,Assam University, Silchar,CFI
NWA,National Institute of Technology, Warangal,NIT
